timestamp,raw_gaze_position_x,raw_gaze_position_y,calibrated_gaze_position_x,calibrated_gaze_position_y,filtered_gaze_position_x,filtered_gaze_position_y,left_eye_openness,right_eye_openness,tracking_status,status,event,trigger
1767107468777337800,2.286834955215454,-11.222466468811035,1763.2902145385742,1338.0965924263,1763.2902145385742,1338.0965924263,230.0,164.5,1,1,0,0
1767107468823847700,1.2971795797348022,-11.778691291809082,1373.5304832458496,1392.3275113105774,1373.5304832458496,1392.3275113105774,222.5,170.0,1,1,0,0
1767107468882600500,-0.6562069654464722,-11.836655616760254,984.2158699035645,1416.9478726387024,984.2158699035645,1416.9478726387024,259.0,160.0,1,1,0,0
1767107468960689400,1.1648675203323364,-12.403244972229004,1533.998851776123,1349.044897556305,1533.998851776123,1349.044897556305,254.0,141.5,1,1,0,0
1767107469024317300,1.1263251304626465,-12.684524536132812,1512.3681449890137,1319.727977514267,1512.3681449890137,1319.727977514267,238.5,146.0,1,1,0,0
1767107469092485700,0.9139078259468079,-10.656804084777832,1599.4047546386719,1292.1012353897095,1599.4047546386719,1292.1012353897095,252.5,148.5,1,1,0,0
1767107469154415500,0.7323012948036194,-11.3366060256958,1537.7029609680176,1324.392671585083,1537.7029609680176,1338.0965924263,243.5,154.5,1,1,0,0
1767107469219072600,0.2580235004425049,-11.530542373657227,1360.0938606262207,1360.139297246933,1373.5304832458496,1360.139297246933,245.5,139.0,1,1,0,0
1767107469283777100,0.3109530806541443,-9.6144437789917,1650.7332229614258,1018.9017999172211,1537.7029609680176,1338.0965924263,230.0,169.0,1,1,0,0
1767107469364316400,0.3471253514289856,-10.590328216552734,2005.265293121338,981.0749924182892,1537.7029609680176,1338.0965924263,233.0,133.0,1,1,0,0
1767107469426843000,-0.025014441460371017,-8.8130521774292,1857.2849464416504,702.4648439884186,1537.7029609680176,1338.0965924263,233.5,150.0,1,1,0,0
1767107469492136600,0.541927695274353,-10.33397388458252,2256.431121826172,978.869959115982,1650.7332229614258,1018.9017999172211,214.0,172.0,1,1,0,0
1767107469558320000,0.1969151794910431,-9.338187217712402,2143.341121673584,775.1673585176468,1857.2849464416504,981.0749924182892,218.0,129.5,1,1,0,0
1767107469620983300,0.5267245173454285,-10.785931587219238,2100.295829772949,1009.7097194194794,1857.2849464416504,1009.7097194194794,233.5,153.5,1,1,0,0
