timestamp,raw_gaze_position_x,raw_gaze_position_y,calibrated_gaze_position_x,calibrated_gaze_position_y,filtered_gaze_position_x,filtered_gaze_position_y,left_eye_openness,right_eye_openness,tracking_status,status,event,trigger
1766573242513400000,0.4285504221916199,-13.666878700256348,1284.6088600158691,702.6765990257263,1284.6088600158691,702.6765990257263,432.0,177.0,1,1,0,0
1766573242539610700,1.1580390930175781,-13.52487850189209,1019.4312572479248,750.5016142129898,1019.4312572479248,750.5016142129898,399.0,277.5,1,1,0,0
1766573242567450600,1.1184648275375366,-13.572778701782227,1052.2769451141357,736.7926722764969,1052.2769451141357,736.7926722764969,381.0,258.0,1,1,0,0
1766573242626112800,-1.1327096223831177,-13.457868576049805,705.8763456344604,658.714109659195,705.8763456344604,658.714109659195,394.5,265.5,1,1,0,0
1766573242644622300,-1.1261910200119019,-12.916610717773438,570.4947423934937,584.3843740224838,570.4947423934937,584.3843740224838,390.5,267.0,1,1,0,0
1766573242667282200,0.06363730132579803,-13.162654876708984,802.2883701324463,637.5710499286652,802.2883701324463,637.5710499286652,376.0,285.0,1,1,0,0
1766573242690836700,1.3038768768310547,-13.422199249267578,951.6928195953369,695.0849443674088,951.6928195953369,695.0849443674088,353.5,280.0,1,1,0,0
1766573242708944900,-0.30939722061157227,-13.139140129089355,759.6554088592529,673.8066047430038,951.6928195953369,695.0849443674088,329.0,259.0,1,1,0,0
1766573242729775700,0.854357898235321,-12.67431640625,774.0360832214355,665.7179099321365,951.6928195953369,695.0849443674088,328.0,264.5,1,1,0,0
1766573242750545800,1.3435046672821045,-12.877681732177734,914.6811676025391,713.433426618576,951.6928195953369,695.0849443674088,365.5,256.0,1,1,0,0
1766573242782959200,0.8547229170799255,-11.888562202453613,737.3365116119385,682.1969997882843,914.6811676025391,695.0849443674088,362.0,230.0,1,1,0,0
1766573242814880900,1.0572876930236816,-12.313371658325195,778.9705753326416,687.740530371666,914.6811676025391,695.0849443674088,394.5,266.0,1,1,0,0
